Date,SPY,QQQ,IWM,GLD,TLT
2015-02-24,174.95777893066406,99.76046752929688,105.75920104980469,115.26000213623047,93.8214111328125
2015-02-25,174.8091583251953,99.5124282836914,105.87989044189453,115.69999694824219,94.22653198242188
2015-02-26,174.6026153564453,100.01765441894531,106.26788330078125,116.06999969482422,92.9386978149414
2015-02-27,174.0078887939453,99.57672882080078,105.6902084350586,116.16000366210938,93.72018432617188
2015-03-02,175.10646057128906,100.47698974609375,106.45758819580078,115.68000030517578,91.97443389892578
2015-03-03,174.3878173828125,100.00848388671875,105.82816314697266,115.47000122070312,91.64095306396484
2015-03-04,173.65272521972656,99.6226577758789,105.50052642822266,115.11000061035156,91.66996002197266
2015-03-05,173.84271240234375,99.79721069335938,105.81092834472656,115.0,91.55401611328125
2015-03-06,171.39772033691406,98.66732025146484,104.4744873046875,111.86000061035156,89.53137969970703
2015-03-09,172.1081085205078,98.95211029052734,104.93144989013672,111.97000122070312,90.35780334472656
2015-03-10,169.3161163330078,97.1148681640625,103.724365234375,111.41999816894531,91.54671478271484
2015-03-11,168.91966247558594,96.5545425415039,104.36238861083984,110.75,92.21369171142578
2015-03-12,171.0673065185547,97.18836975097656,106.09545135498047,110.72000122070312,92.1484146118164
2015-03-13,170.01829528808594,96.76580047607422,105.71607971191406,110.87999725341797,91.86567687988281
2015-03-16,172.28985595703125,98.01506042480469,106.33686065673828,110.80999755859375,92.75010681152344
2015-03-17,171.77764892578125,98.17124938964844,106.62140655517578,110.20999908447266,93.51861572265625
2015-03-18,173.84271240234375,99.13581085205078,107.47501373291016,112.37000274658203,95.32373809814453
2015-03-19,173.04974365234375,99.28275299072266,107.68193817138672,112.29000091552734,94.8380126953125
2015-03-20,174.5772247314453,99.9254379272461,108.6303482055664,113.56999969482422,95.33818054199219
2015-03-23,174.23703002929688,99.73210906982422,108.5354995727539,114.29000091552734,95.22220611572266
2015-03-24,173.2579803466797,99.37299346923828,108.50965881347656,114.56999969482422,96.14289093017578
2015-03-25,170.71908569335938,97.09883117675781,105.917724609375,114.7300033569336,95.33094787597656
2015-03-26,170.31256103515625,96.76740264892578,105.78797149658203,115.4800033569336,93.84476470947266
2015-03-27,170.70245361328125,97.15406799316406,106.46258544921875,115.05999755859375,95.01199340820312
2015-03-30,172.7850341796875,98.26815795898438,107.90685272216797,113.75,94.54076385498047
2015-03-31,171.27503967285156,97.22773742675781,107.56090545654297,113.66000366210938,94.74378204345703
2015-04-01,170.6693115234375,96.72134399414062,107.6041488647461,115.5999984741211,95.9881820678711
2015-04-02,171.2832489013672,96.78577423095703,107.8030776977539,115.27999877929688,94.97115325927734
2015-04-06,172.43658447265625,97.57762145996094,108.2787094116211,116.69000244140625,94.44085693359375
2015-04-07,171.98023986816406,97.41188049316406,107.58687591552734,116.11000061035156,95.23269653320312
2015-04-08,172.56105041503906,98.18527221679688,108.51225280761719,115.47000122070312,95.26172637939453
2015-04-09,173.3243865966797,98.80216217041016,108.12305450439453,114.66999816894531,94.02674865722656
2015-04-10,174.27023315429688,99.207275390625,108.64195251464844,115.97000122070312,94.1647720336914
